"concentration_regime","hhi","hours_coordination","mkr_movilizado","n_lock_events","n_voters","participation_tier","spell_address","top1_share_pct","total_mkr","ts_lift","ts_propose","kappa_coord","whale_present","micro_spell","year","post_sky","log_kappa","log_mkr","log_hours"
"high_concentration",10000,48.013889,19,1,1,"small","0x17aae62dbfb316e8ce662e6d216a2a7397af05ad",100,19,2021-12-13 10:53:36,2021-12-11 10:52:46,912.263891,0,0,2021,0,6.81702487607162,2.99573227355399,3.89210370692615
"high_concentration",10000,48.02,1000,1,1,"medium","0xc97b446dbab390b90ca7a7cbe2ebaba027ceb1dc",100,1000,2022-01-24 20:27:55,2022-01-22 20:26:43,48020,0,0,2022,0,10.7793936942148,6.90875477931522,3.89222837809997
"high_concentration",10000,63.506667,542.48404437,2,1,"medium","0x54e30e7cb278d8341b71ee4681b32ade08c14559",100,542.48404437,2022-02-07 15:10:55,2022-02-04 23:40:31,34451.3535586188,0,0,2022,0,10.4473325922104,6.29800034894542,4.16676858280109
"moderate_concentration",5773.55727637183,48.016944,3.93670225673024,2,2,"small","0xaa4745e0e0894e90f51a2f4cd34f3a5be2606814",69.6666885414376,3.93670225673024,2022-03-01 15:42:30,2022-02-27 15:41:29,189.028411806089,0,0,2022,0,5.24717359680264,1.59669754891652,3.89216603425536
"high_concentration",9303.29599604684,48.010833,1044.63117666412,3,3,"medium","0x605007fcf904774aef51339150c516ad844f9ddc",96.3976590489779,1044.63117666412,2022-03-06 22:42:02,2022-03-04 22:41:23,50153.6129694144,0,0,2022,0,10.8228657725978,6.95237597887402,3.89204135530834
"high_concentration",9964.25066408931,65.710833,1001.79309790453,3,3,"medium","0x4a9488fe660981e56de4f76237e7882945fa8363",99.8210111540715,1001.79309790453,2022-03-14 14:00:35,2022-03-11 20:17:56,65828.6589569573,0,0,2022,0,11.0948257597855,6.91054448343689,4.20036735352699
"high_concentration",9509.28749864691,48.07,4103.19259644848,4,3,"medium","0xb8773f3130f41ee08175ff549992f6d7d7301f6b",97.4850657378891,4103.19259644848,2022-04-11 15:33:34,2022-04-09 15:29:22,197240.468111278,0,0,2022,0,12.1921839835839,8.31976431470866,3.89324785010181
"high_concentration",10000,54.804444,230.243722800453,1,1,"medium","0x004fc7b0ec8c9d91e84e4e4547049d0fd6e7e971",100,230.243722800453,2022-05-04 14:05:58,2022-05-02 07:17:42,12618.3792125689,0,0,2022,0,9.44298894412214,5.44347223137742,4.0218535077931
"moderate_concentration",5166.45836044091,94.248611,975.524877433638,19,18,"medium","0x0e7109eb07c1424ad29e82c131796b8f257ba8bb",62.2695264596347,975.524877433638,2022-05-23 14:19:17,2022-05-19 16:04:22,91941.8646940656,0,0,2022,0,11.4289226271744,6.88400022611474,4.55649043122332
"high_concentration",9967.40368872368,48.123333,1001.63403599704,12,12,"medium","0x6651ee09c01414c779c80802da819369541b17fb",99.8368629720726,1001.63403599703,2022-06-10 19:14:16,2022-06-08 19:06:52,48201.9682584193,0,0,2022,0,10.7831758802675,6.91038585198612,3.89433413577142
"high_concentration",9863.68093071404,48.008333,40906.7452069502,7,4,"large","0x9cf7c0b8017505cde07aa8c89c430110a7df86ee",99.3136945862353,40906.7452069502,2022-06-17 21:04:02,2022-06-15 21:03:32,1963864.64584142,0,0,2022,0,14.4904253571255,10.6190746934659,3.89199034487635
"high_concentration",9980.81748118389,49.573611,33658.3116,17,6,"large","0x02a180c206ef88b68e9ba7b5087a510cc611d26a",99.9040011264261,33658.3116,2022-07-01 16:40:37,2022-06-29 15:06:12,1668564.04617519,0,0,2022,0,14.3274745612355,10.4240450159611,3.92342991851453
"moderate_concentration",4927.9986790405,48.953333,2.22747098832869,5,5,"small","0xa68e15c57b99a72ffd4391b0ed9f0ff04263cb9e",49.8896720908968,2.22747098832869,2022-07-04 14:00:42,2022-07-02 13:03:30,109.042129039494,0,0,2022,0,4.70086328373811,1.17169885479933,3.91108922959516
"high_concentration",8283.35604979016,48.110556,1.10406663578239,11,10,"small","0x2ffcbbc0fb3c2e68b0c0ec5e4b291b2e7344e1a7",90.8844046117103,1.10406663578239,2022-07-08 23:38:53,2022-07-06 23:32:15,53.1172597085404,0,0,2022,0,3.99115316840167,0.743871965373183,3.89407400151018
"moderate_concentration",3804.06108623495,48.1,229.14279549997,13,12,"medium","0x591b141a048b7ae2c19b2b28364a95764f5a6b21",55.0599462334031,229.14279549997,2022-07-16 06:16:01,2022-07-14 06:10:01,11021.7684635485,0,0,2022,0,9.30771827289363,5.43869996627543,3.89385903480047
"high_concentration",9721.86166127538,48.603611,22947.6334556655,16,13,"large","0x1b4eb06e91835cc4c3b01bf9178812ef52976779",98.594044757213,22947.6334556655,2022-08-04 14:01:43,2022-08-02 13:25:30,1115337.84984975,0,0,2022,0,13.9246688179183,10.0410136693004,3.90406363350027
"high_concentration",7977.58248117579,48.142222,790.691952805433,7,7,"medium","0x183cac6af0586f4cadcbee507ee128d6bcacd1f0",88.5890649348292,790.691952805433,2022-08-06 18:39:05,2022-08-04 18:30:33,38065.6675255727,0,0,2022,0,10.5470943100991,6.67417236767636,3.89471858381596
"moderate_concentration",5812.86647426089,94.164722,22.3016438081351,3,3,"small","0x947037703f70ed0614866e27ae9c6a51dac955dd",71.3153436354926,22.3016438081351,2022-08-29 14:00:32,2022-08-25 15:50:39,2100.02808933606,0,0,2022,0,7.65018207026351,3.14852390778851,4.55560930589343
"high_concentration",9647.39239435857,103.943056,5.10661862577196,7,7,"small","0x81ceb2f28a28178aff2c8e60e328a0b2a8f4a16f",98.2158316011275,5.10661862577196,2022-09-05 14:03:47,2022-09-01 06:07:12,530.797545789258,0,0,2022,0,6.27626286388525,1.80937320358819,4.65341787923725
"high_concentration",9883.39784600503,48.034167,13972.9439271755,8,8,"large","0x6a2253534e10dbdda518afaf369b5a884e57de62",99.4135528804628,13972.9439271755,2022-09-10 08:30:45,2022-09-08 08:28:42,671178.722079582,0,0,2022,0,13.4167922222359,9.54494972645052,3.89251734083418
"high_concentration",9978.72521874814,48.026667,49.0522139296423,11,11,"small","0x3faede0e76ab191323cd5ef8d843c038b8e5c00b",99.8935543873368,49.0522139296423,2022-09-18 14:50:59,2022-09-16 14:49:23,2355.81434401169,0,0,2022,0,7.76506613191341,3.91306673914141,3.89236437456398
"high_concentration",9901.40485590898,97.146667,1.16518059184076,3,3,"small","0xcb2fc2694ba2089476fa93d2c69e19a1b8e8dc35",99.5050954434756,1.16518059184076,2022-10-10 14:02:35,2022-10-06 12:53:47,113.193410950417,0,0,2022,0,4.7378935981004,0.772503772220832,4.58646296191867
"high_concentration",9800.0111682432,48.03,1010.19387051748,13,6,"medium","0x62e89047d08d144e6d155128d75db330be9bc31e",98.990899587199,1010.19387051748,2022-10-23 18:40:47,2022-10-21 18:38:59,48519.6116009547,0,0,2022,0,10.7897439681095,6.91888696178154,3.89243235566314
